file,line,type,commit,author,date,time,timezone,datetime,depth,length
styles.css,78,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,12
styles.css,79,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,22
styles.css,80,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,15
styles.css,81,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,20
styles.css,82,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,15
styles.css,83,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,46
styles.css,84,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,0
styles.css,85,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,0
styles.css,86,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,11
styles.css,87,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,15
styles.css,88,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,33
styles.css,89,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,46
styles.css,90,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,13
styles.css,91,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,0
styles.css,92,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,0
styles.css,93,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,10
styles.css,94,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,12
styles.css,95,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,19
styles.css,96,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,0
styles.css,97,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,0
styles.css,98,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,11
styles.css,99,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,13
styles.css,100,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,30
styles.css,101,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,19
styles.css,102,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,10
styles.css,103,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,0
styles.css,104,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,0
styles.css,105,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,7
styles.css,106,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,37
